Segment,Plant,Product,Quantity,Risk Level,Segement,Code,UOM,Status,Classification,Level 1,Level 2,Level 3,Scrapping Status,Scrapping Month,Value in EGP,Date
,EGB1,Unknown,198,Medium,Pack,89089448,Pc,Booked,SKU simplification ,Write_off_Sales ,Sales,Material no longer used,Pending,22-Dec,5848,
,EGB3,Unknown,34.2033746,Low,Pack,890418445,Pc,Booked,PET Label,Write_off_Sales ,Sales,Material no longer used,Pending,22-Dec,5556,
,EGB3,Unknown,34.2033746,High,Pack,890418445,Pc,Booked,PET Label,Write_off_Sales ,Sales,Material no longer used,Pending,22-Dec,5556,
,EGB4,Phshshas White BIB 10L,34.2033746,Low,FG,49818,PC,Not Booked,Quality issue ,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-Apr,5519.14,
,EGLE,Valdons Semi Sweet White NRB 12^75cl,34.2033746,Low,FG,518895,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,5383.84,
,EGLE,CAPE BAY Merlot Oaky NRB 12^75cl,34.2033746,Low,FG,59449,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,5329.27,
,EGLE,AYAM Rose NRB 12^75cl,34.2033746,Low,FG,518444,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,5281.42,
,EGLE,Fasdikad Pine PET Shrink 6^97cl SE TE,34.2033746,Low,FG,1849185,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,5255.28,
,EGB3,12345,34.2033746,Unknown,Raw,890081857,Kg,Booked,Fayrouz Coffee ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain, MARKETING/SALES/SCH.Change of recipe and design because of legislation,Pending,22-Dec,4617,
,EGLE,AYAM Reserve NRB 12^75cl,34.2033746,Low,FG,518574,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,4469.53,
,EGB4,Phshshas Red BIB 10L,34.2033746,Low,FG,4987,Pc,Not Booked,Quality Issue,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-May,4423.92,
,EGLF,Fasdikad Pineapple PET Shrink 6^97cl TE,14,Low,FG,57449,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Feb,4401.99,
,EGLI,Biresss Can Tray 24^33cl TE,14,Low,FG,4949,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,4048.8,
,EGLF,Fasdikad Pine PET Shrink 6^97cl SE TE,15,Low,FG,1849185,Case,Not Booked,Expired,,,,Pending,22-Aug,3997.5,
,EGB5,LBLST WHITE FEATHER 750ml,6,Low,Pack,89045874,Pc,Booked,Cancelled NPI,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Expired date NPI ,Pending,22-Dec,3948.13,
,EGLE,CAPE BAY Merlot NRB 12^75cl,26,Low,FG,4989,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,3855.54,
,EGB1,MEsacod Ma^ Can Tray 24^33cl TE,7,Low,FG,89187,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Mar,3803.52,
,EGB4,Phshshas Red BIB 10L,161,Low,FG,4987,PC,Not Booked,Quality issue ,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-Apr,3686.6,
,EGB5,Flats sjs Symr Coconut 401145,14,Low,Raw,89008485,KG,Not Booked,Expired,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Delisting ,Done,22-Jan,3670,
,EGLF,Phshshas White BIB 10L,36,Low,FG,49818,PC,Not Booked,Quality issue ,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-Feb,3580.5,
,EGLE,Phshshas White BIB 10L,15,Low,FG,49818,PC,Not Booked,Quality issue ,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-Apr,9869,
,EGB4,Unknown,150,High,WIP,,Tons,Booked,Quality Issue,Write_off_Production ,Production_own_products, PRODUCTION.Microbiology (quality of Teer) incl returns from customers,Done,22-Jan,2892,
,EGB4,Unknown,160,High,WIP,,Tons,Booked,Quality Issue,Write_off_Production ,Production_own_products, PRODUCTION.Microbiology (quality of Teer) incl returns from customers,Done,22-Jan,2892,
,EGLE,"OasnKHAYYAM White NRB 48^18,7cl",19,Low,FG,509418,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,2882.06,
,EGB3,Unknown,34.2033746,Low,Pack,8904189418,PC,Booked,Scarab,Write_off_Sales ,Sales,Material no longer used,Pending,22-Dec,2864,
,EGB3,Unknown,34.2033746,Low,Pack,8904189418,PC,Booked,Scarab,Write_off_Sales ,Sales,Material no longer used,Pending,22-Dec,2864,
,EGB4,Phshshas Rose BIB 10L,1,Low,FG,4988,Pc,Not Booked,Quality Issue,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-May,2728.6,
,EGB1,MEsacod Ma^ Can Tray 24^33cl TE,1,Low,FG,89187,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Jan,2716.8,
,EGB4,Unknown,34.2033746,High,WIP,WCC,HL,Booked,White Concentrate ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain, MARKETING/SALES/SCH.Expired date regular SKU,Pending,22-Jun,2700,
,EGB4,Unknown,34.2033746,High,WIP,WCC,HL,Booked,White Concentrate ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain, MARKETING/SALES/SCH.Expired date regular SKU,Pending,22-Jun,2700,
,EGB3,Biresss RB Crate 24^24cl TE,1,Low,FG,5894,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Jan,2678.4,
,EGLF,Phshshas Red BIB 10L,1,Low,FG,4987,PC,Not Booked,Quality issue ,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-Feb,2557.5,
,EGLE,LEILA Rose NRB 12^75cl,4,Low,FG,55187,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Mar,2447.63,
,EGB1,MEsacod Ma^ Can Tray 24^33cl TE,24,Low,FG,89187,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Feb,2241.36,
